"descripcio";"Data";"codi";"client_ID";"tipus_projectes_ID";"Tarifa_id";"Situacio_id";"operador_id";"Instalador_ID"
"Help";"2022-01-01";"3486S100001";1;1;1;2;1;1
"Norwegian wood";"2022-01-13";"3486S100002";1;1;1;4;1;1
"Julia";"2022-02-01";"3486D100003";1;2;3;2;1;2
"Taxman";"2022-02-13";"3486D100004";1;2;1;3;3;2
"You never give me your money";"2022-03-01";"3486D100005";1;2;1;4;3;2
"Let it be";"2022-03-13";"3486S100006";1;1;1;4;2;2
"Blackbird";"2022-04-01";"3486S100007";1;1;1;4;3;1
"I am the walrus";"2022-04-13";"3486S100008";1;1;3;3;2;1
"Strawberry fields forver";"2022-05-01";"3486D100009";1;2;3;3;2;1
"I'm back in USRR";"2022-05-13";"3486D100010";1;2;1;5;2;1
"Across the universe";"2022-06-01";"3486S100011";1;1;2;2;2;2
"Carry that weight";"2022-06-13";"3063D100012";2;2;2;2;4;1
"Hey Jude";"2022-07-01";"3063S100013";2;1;1;4;5;1
"Don't let me down";"2022-07-13";"3063D100014";2;2;3;5;4;2
"Here comes the sun";"2022-08-01";"3063D100015";2;2;1;4;4;2
"Get back";"2022-08-13";"3063S100016";2;1;1;4;4;2
"Something";"2022-09-01";"3486S100017";1;1;1;2;5;2
"Come together";"2022-09-13";"3486S100018";1;1;2;5;5;1
"With a little help from my friends";"2022-10-01";"3033D100019";3;2;3;2;4;1
"All you need is love";"2022-10-13";"3033D100020";3;2;3;3;3;1
"Ob-la-di, ob-la-da";"2022-10-28";"3033S100021";3;1;1;3;2;1
"While my guitar gently weeps";"2022-11-13";"3486D100022";1;2;1;4;2;2
"A hard day's night";"2022-12-01";"3063D100023";2;2;1;2;5;1
"She sais she said";"2022-12-13";"3063S100024";2;1;2;5;2;1
"Sgt. Pepper's Lonely Hearts Club Band";"2022-12-17";"3063S100025";2;1;3;2;2;2
"Everybodyâ€™s got something to hide except me and my monkey";"2022-12-19";"3033S100026";3;1;3;2;1;2
"Long, long, long";"2022-12-23";"3063S100027";2;1;1;3;1;2
"It's all too much";"2022-12-29";"3033D100028";3;2;1;5;4;2
"Twist and shout ";"2022-12-31";"3486D100029";1;2;1;2;1;2
"Yellow submarine";"2022-10-20";"993S100030";5;1;2;1;3;2
"Dear Prudence";"2022-10-20";"993S100031";5;1;1;1;1;1
"Lucy in the sky with diamonds";"2022-10-20";"993D100032";5;2;1;1;1;1
"Two of us";"2022-10-20";"993D100033";5;2;3;1;1;2
"Yesterday";"2022-10-24";"993S100034";5;1;2;1;1;1
